question,answer
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster
Who is the most successful UK solo artist in the USA?,Elton John
Which country does the airline TAAG come from?,Angola
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down
River Phoenix died during the making of which movie?,Dark Blood
Which artist David was born in Bradford UK?,Hockney
What is Mel Gibson's middle name?,Columcille
Richard Daley was mayor of which city for 21 years?,Chicago
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel
What is Osbert Lancaster best known for producing?,Cartoons
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade
Who was the first US-born winner of golf's British Open?,Walter Hagen
In which country is the Sky Train Rail bridge?,Canada
What was the Paramount Film Company originally called?,Famous Players Film Company
Who was the first person after Scott to reach the South Pole overland?,Edmond Hillary
Which journalist first told the world about the My Lai massacre?,Seymour Hersh
What is the name of Terence and Shirley Conran's dress designer son?,Jasper
Which drink did The Spice Girls promote?,Pepsi
Who was the youngest brother in the Beach Boys?,Carl Wilson
Who first hosted Family Feud?,Richard Dawson
What did the Lone Ranger's title Kemo Sabe mean in Apache?,White Shirt
Who or what was Gentle Ben in the 60s TV series?,Bear cub
Which 70s show was based on the British show Till Death Us Do Part?,All In The Family
On what date in 1969 did Neil Armstrong first set foot on the Moon?,July 20th
Bandar Seri Begawan International airport is in which country?,Brunei
What was the profession of Paul Strand (1890 - 1976)?,Photographer
Who had a 60s No 1 with Downtown?,Petula Clark
"Who was born first, Kiefer Sutherland or Christian Slater?",Kiefer Sutherland
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",10
Who was the Georgia Peach?,Ty Cobb
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix
Della Street was whose secretary?,Perry Mason
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond
Who is featured on Puff Daddy's Can't Hold Me Down?,Mase
What had Edmond Hillary worked at before taking up mountain climbing?,Bee Keeping
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts
Benina international airport is in which country?,Libya
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinkerbell
Which US president did Anthony Hopkins play in a film whose title was simply his name?,Nixon
Which movie was a biopic about the life of David Helfgott?,Shine
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman
In which sci fi classic did the space ship Nostromo first appear?,Alien
Nigel Hawthorne was Oscar nominated for The Madness of which King?,George
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman
Which Oscar-nominated film had You Sexy Thing as its theme song?,The Full Monty
Which Joan's career revived in Whatever Happened to Baby Jane?,Crawford
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart
Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire
What was the name of the brothel in The Best Little Whorehouse in Texas?,Chicken Ranch
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole
What relation is Joey Richardson to Vanessa Redgrave?,Daughter
Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium
On which date in 1945 did Hitler take cyanide then shoot himself?,April 30th
In which river is the Boulder Dam?,Colorado
"Which sports event was first held at Worcester, Massachusetts in 1927?",Ryder Cup
In which European city is the Belvederen Gallery?,Vienna
How old was Woody Herman when he founded his own orchestra?,13
For which movie did Katharine Hepburn win her second Oscar?,Guess Who's Coming To Dinner
Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys
The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,Sweden
In which country was the first permanent bungee jumping site situated?,New Zealand
Who succeeded Brezhnev as Soviet premier?,Andropov
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,Baby Buggy
In which city's shipyard was Solidarity set up?,"Gdansk, Poland"
Which female singer was born on exactly the same day as impressionist Rich Little?,Tina Turner
What is Harrison Ford's real name?,Harrison Ford
Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris
Who won baseball's first World Series of the 80s?,Philadelphia Phillies
What was Pete Sampras seeded when he won his first US Open?,12
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocky Marciano
Where did Jonathan Edwards set his 1995 triple jump world record?,Sweden
"In baseball, where do the Orioles come from?",Baltimore
The Naismith Award is presented in which sport?,Basket ball
Which cartoon and film character is the nickname of super athlete Michael Johnson?,Superman
For which team did Babe Ruth blast his last Major League home run?,Boston Braves
What was Warren Beatty's first movie?,Splendor in the Grass
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Debra Winger
Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,Mickey Dolenz (The Monkees)
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,Tom Selleck
What US sitcom was the first exported to Britain?,Amos 'N' Andy
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,Florence Henderson
Which US president won the Nobel Peace Prize in 1920?,Woodrow Wilson
Who beat Tim Henman in his first Wimbledon singles semifinal?,Pete Sampras
What relation was Flo Jo to Jackie Joyner Kersee?,Sister-in-law
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,4 years
Yuan Yuan was caught carrying drugs for which Chinese team?,Swimming
Which grand slam did Pete Sampras not win in the 20th century?,French
In which events did Gert Fredriksson win six Olympic gold medals?,Canoeing
"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",Three
On the Internet what is Spam?,Junk mail
In which country did the Internet start?,USA
In which year was the Juilliard School founded in New York?,1905
"Who wrote My Life and Loves in 1926, originally banned in the US?",Frank Harris
What was Blondie's last UK No 1 of the 80s?,Rapture
"In baseball, where do the Royals come from?",Kansas city
What is the largest city in Ohio?,Cleveland
In which decade of the 20th century was Anne Bancroft born?,1930s
The Suez Canal connects the Mediterranean Sea to which other Sea?,Red sea
Which rock star did Cindy Crawford name her first son after?,Presley
Sun Yat Sen overthrew the emperor in which country establishing a republic after 2000 years of imperial rule?,China
Who designed the dress which made the most at Diana's dress auction?,Victor Edelstein
Which Palestinian co-founded al Fatah in 1957?,Yasser Arafat
In which country was Earl Spencer's acrimonious divorce settlement heard?,South Africa
"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, born?",Egypt
Aung San Suu Kyi is a controversial leader in which country?,Myanmar
Which of the founders of United Artists had the last name nearest the beginning of the alphabet?,Chaplin
"In La Cage Aux Folles, what was La Cage Aux Folles?",Nightclub
Where was the Fiddler in the musical's title?,On the Roof
South Pacific was set during which war?,WWII
What percentage of the earth's surface is covered by Europe?,8%
Which European town gave its name to a Treaty which symbolizes closer economic links between European countries?,Maastricht
Which home of champagne in France was also where the German High Command surrendered in WWII?,Reims
Which was the first European city this century to open an underground railway system?,Paris
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks
Which actress wrote the novel The Last of the Really Great Whangdoodles?,Julie Andrews
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,Barbara Eden
What color golf balls are used on the golf course in Antarctica?,Orange
Throughout the 80s and 90s Phil Collins recorded on which record label?,Atlantic
On which label did Chuck Berry record in the 1950s and 1960s?,Chess
What was the name of Michael Jackson's second wife?,Debbie Rowe
Which US city was named after a British Prime Minister?,Pittsburgh
"""Who said, To err is human but it feels divine?""""""",Mae West
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton
What are the international registration letters of a vehicle from Iceland?,IS
Where was the American venue of the Live Aid concert?,Philadelphia
Which was the longest moon landing?,Apollo 17
Who had the most expensive presidential inauguration ceremony of the 20th century?,George W. Bush
Who became Israel's head of state in 1993?,Ezer Weizman
"In WWII, who was the head of the Nazi party's security service?",Reinhard Heidrich
Which President of the Philippines was deposed in 1986?,Marcos
"What kind of disaster claimed some 100,000 lives in Armenia in 1988?",Earthquake
Which state on the Gulf of Mexico is nearest the end of the alphabet?,Texas
Truax Field international airport is in which US state?,Wisconsin
In what month was the attack on Pearl Harbor?,December
Who did Dr. Crippen murder?,His wife
"In the 1904 Olympics, how many of the 23 track and field titles were won by Americans?",21
The Black Hills lie between which two rivers?,Belle Fourche and Cheyenne
In what year was the first in-flight movie shown on an internal flight in the USA.,1929
In which city was John Lennon murdered?,New York
How was President Kennedy assassinated?,Shot
Which caped crusader operated in Gotham City?,Batman
Who did Jack Ruby shoot in November 1963?,Lee Harvey Oswald
Who was the first American to travel faster than the speed of sound?,Chuck Yeager
Who was the first US president Barbara Walters interviewed?,Nixon
Which orchestral conductor was married to one of the subjects of the film Hillary and Jackie?,Daniel Barenboim
Which writer and politician became Lord Tweedsmuir?,John Buchan
In what year was the first Tarzan novel published?,1914
In which country were motorized ambulances first used?,France
What is the Pacific terminus of the Trans Siberian Railway?,Vladivostok
What is the name of the mountain pass which lies between Pakistan and Afghanistan?,Khyber pass
"What is the name of the group of 1,196 islands in the North Indian Ocean, none bigger than five square miles?",Maldives
Which Syrian city is said to be the oldest continually inhabited city in the world?,Damascus
Who was king of France at the time of the French Revolution?,Louis XVI
What is the principal language of Bulgaria?,Bulgarian
"What is the name of the cathedral in Red Square, Moscow?",St. Basil's
Which country is known to its people as Suomen Tasavalta?,Finland
Which crusade was led by Philip II Augustus of France and Richard I of England?,Third crusade
In which Netherlands city does the United Nations International Court of Justice sit?,The Hague
"In which battle did Harold II, the last Saxon king, lose his life?",Battle of Hastings
Who proclaimed the People's Republic of China in 1949?,Mao Zedong
"Which wife of Henry VIII had already married twice before she became queen, and married for a fourth time after Henry's death?",Catherine Parr
In which country is the castle that gives the Habsburg dynasty its name?,Switzerland
In which parliament has the UK 87 seats for members who are elected for a five0-year term?,European Parliament
What was the former name of the British Green Party?,Ecology Party
"""What is the more common name of the """"simple plurality"""" system of voting?""",First past the post
What word for unthinking patriotism is derived from the name of one of Napoleon's admirers?,Chauvinism
Which builder of steam engines formed a successful partnership with Matthew Boulton?,James Watt
What was the nickname of the French singer Edith Piaf?,The Little Sparrow
Whose birthday is celebrated by a public holiday on the third Monday in January in the USA?,Martin Luther King
What type of coal is brown and fibrous?,Lignite
What raw material is used for making glass?,Sand
What kind of an organism is a truffle?,Fungus
What is the name of the strong material found in plant cell walls?,Cellulose
What name is given to the change of state from liquid to gas?,Evaporation
"Which branch of science has four fundamental principles: addition, subtraction, multiplication, and division.",Arithmetic
What is the force that opposes the relative motion of two bodies that are in contact?,Friction
What is the fastest animal on two legs?,An Ostrich
What is the green pigment used by plants to trap sunlight?,Chlorophyll
What id the name given to the study of birds?,Ornithology
"Of which reptile are there only two species, one living in the Mississippi and the other in China?",Alligator
"What type of seaweed grows up to 100 meters in length, and is farmed for its alginates?",Kelp
Where in a vertebrate would you find the protein myoglobin?,Muscle tissue
"What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?",Cellulose
"Which family of insects has species named 'drivers', 'weavers', 'and even individuals called 'soldiers'?",Ant
What name is given to the study of animal behavior?,Ethology
Mosses are classified as belonging to which part of the plant kingdom?,Bryophyta
"Which rodent rears its young, called kittens, in a nest called a drey?",Squirrel
What has a central vein called a midrib?,Leaf
"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver
What is the generic word for plants that grow in water or water-logged conditions?,Hydrophytes
"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth
What is secreted by the pancreas to regulate blood sugar levels?,Insulin
How many chambers has the heart?,Four
What is the name of the large buttock and thigh muscle?,Gluteus maximus
"When the egg is released from the ovary, what is left behind?",Corpus luteum
What is the scientific name for the heart's pacemaker?,Sinoatrial node
Which hormone helps control ovulation?,Luteinizing hormone
What is the second most common gas in the atmosphere?,Oxygen
What is the term for nutrient enrichment of lakes?,Eutrophication
Five-legged creatures have damaged which 1250 mile long wonder of the world?,Great Barrier Reef
Which radioactive substance sometimes occurs naturally in spring water?,Radon
What is the approximate circumference of the earth?,"24,900 miles"
"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum
What name was given to the invisible material once thought to occupy all space?,Ether
From which areas of space can there be no escape?,Black holes
Who was the first man to walk on the Moon?,Neil Armstrong
Proteus and Nereid are moons of which planet?,Neptune
What is the Milky Way?,The local galaxy
Which force is nothing more than the bending of space and time?,Gravitational force
"Which star is as bright as 23 Suns, and is orbited by the Pup?",Sirius
What are the three primary colours of light?,"Red, Blue and Green"
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple
What is the second lightest chemical element?,Helium
"Used in mathematics, what is the value of Pi to three decimal places?",3.142
"What colour is the number 10 on the door of 10 Downing Street? White, Yellow or Brown?",White
What was advertised with Eva Herzagovia using the slogan hello boys?,The Wonder-Bra
What number in Bingo is sometimes referred to as Heinz varieties?,57
"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?",Ian Wright
How many verses make up the national anthem God Save The Queen?,Three
What colour is the cross on the national flag of Switzerland?,White
Who was the American President when the Berlin Wall was constructed?,John F Kennedy
What is the minimum number of darts a person needs to throw to complete a leg from 501?,9
What was the first British football team to win the European Cup?,Celtic
What is the most popular natural attraction in Alaska?,Mount McKinley
"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",Citric acid
How many pieces are there in a standard set of dominoes?,28
What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol
"What were Benjy and Laska, which were sent into space in 1958?",Mice
In what year in the 20th century was the Miss World contest held for the first time?,1951
In which year was the Encyclopedia Britannica first published?,1768
"On the London Underground, which is the only line to connect at some point with every other line on the system?",The Jubilee Line
Who wrote The Importance Of Being Earnest?,Oscar Wilde
"Thomas Edison, who invented the lightbulb, was afraid of the dark?",True
Taphephobia is the fear of losing your teeth?,False
The letter t is the second most common letter used in the English language?,True
"The invention of what in 1867, made Alfred Nobel famous?",Dynamite
What is the most populated city in America?,New York
What is the only letter of the alphabet which does not appear in any of the names of the 50 American states?,Q
What was the Spice Girls' debut single called?,Wannabee
What are the only two musical notes which have no flats?,C and F
"From which country do French fries originate? France, Belgium or Switzerland?",Switzerland
For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Harry Potter and the Prisoner of Azkaban
What is the longest word can be typed using only the top row of letters on a typewriter?,Typewriter
In which city would you find O'Hare International Airport?,Chicago
Which Asian country was once called Siam?,Thailand
What are the names of Donald Duck's three nephews?,"Huey, Dewey and Louie"
"In which 1993 film does a boy called Jonah write to a woman called Annie, asking her to meet his father at the Empire State building on St. Valentine's Day?",Sleepless In Seattle
Who had a top ten hit in 1988 with Valentine?,T'Pau
What is the second most common word in written English?,Of
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pac-Man
"More commonly known as the thigh bone, what is the medical name for the longest bone in the human body?",The Femur
"What word is used to describe someone who is neither left or right handed, but can use both hands with equal ease?",Ambidextrous
"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",Blade Runner
"Which ITV magazine style show ran from 1968 to 1980 and featured presenters including Jenny Hanley, Mick Robertson and Tommy Boyd?",Magpie
Which type of animal was Robin Hood in the Disney cartoon film 'Robin Hood'?,Fox
Who provided the voice for Bob The Builder on his number one hit Can We Fix It?,Neil Morrissey
Which actor received 4 million dollars for his 10 minutes on screen in the film Superman?,Marlon Brando
"Who directed the films Thelma and Louise, Hannibal and Black Hawk Down?",Ridley Scott
"Which serial killer is the subject of the films A Study In Terror, Murder By Decree and From Hell?",Jack The Ripper
"In cricket, what is the score of 111 known as?",Nelson
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby
"With which game would you use a squidger, a circular disc between 25mm and 51 mm?",Tiddlywinks
The melody for which famous song was written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1893?,Happy Birthday
What is the most common pub name in the UK?,The Red Lion
What is the name of Kevin the teenager's friend played by Kathy Burke in a series of sketches with Harry Enfield?,Perry
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racecar
Which fruit can go in the middle of the word aped to make a new word?,Pear
How many scottish football league teams names end in United?,3
Who had a top ten hit in the UK with Cupid in 1961?,Sam Cooke
The theme tune to which TV show starts with the line Stick a pony in me pocket?,Only Fools And Horses
What word is given to a point in tennis which has to be replayed?,Let
How many episodes of Prisoner: Cell Block H were made?,692
Who is the last English-born player to win the men's singles title at Wimbledon?,Fred Perry
"Which famous painter's surname was Harmenzoon van Rijn which translated as son of Harmen, of the Rhine?",Rembrandt
"In 1976, which gymnast scored 7 maximum scores of 10 as she won three gold medals, one silver and one bronze?",Nadia Comaneci
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",11 years and 302 days
Which Eastenders actor has played the policeman Nick Rowan on TV?,Nick Berry
"What type of animal was Boris, the subject of a song by The Who?",Spider
Which brand of beer does Homer Simpson drink regularly?,Duff
From which animal does Haggis come?,Sheep
"In which country was Marie Curie born? Poland, Austria or Switzerland?",Poland
"What is the most common blood type in humans? A, B or O?",O
Which P is the correct technical term for the art of making and displaying fireworks?,Pyrotechnics
Which King did Guy Fawkes attempt to kill with his gunpowder plot?,James I
In which film was the song White Christmas first sung?,Holiday Inn
Which Pop Idol had a number one hit in 2004 called All This Time?,Michelle McManus
"Which Channel 4 TV show's presenters included Mark Lamarr, Amanda De Cadenet and Terry Christian?",The Word
What is the name of the device made of wood and horsehair that is used to play a violin?,Bow
What colour is the bottom stripe on the U.S. flag?,Red
What is the name given to the largest bee in a hive?,Queen
Who won the Ladies singles title at Wimbledon in 2004?,Maria Sharapova
What is the alcoholic ingredient of Irish coffee?,Whiskey
In which year did St George die?,303
What are the names of the Four Horseman of the Apocalypse?,"War, Famine, Pestilence and Death"
Who is the Vice-President for George W Bush?,Dick Cheyney
"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts?",Space Cowboys
"In a standard deck of cards, how many Kings have a moustache?",Three
"According to the film Gremlins, if you are looking after a Gremlin you should not feed him after midnight, not get him wet and not expose him to what?",Bright Light
The Canary Islands are named after what animal?,Dog
In which capital city would you find Charles Bridge and Wenceslas Square?,Prague
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,Bowie
What is the final event in a decathlon?,1500 metres
"Peter Simple, Jack Horner and Ben Nevis have all won which famous sporting event?",The Grand National
What is the largest city in Turkey?,Istanbul
Who bought Chelsea football club for £1 in 1982?,Ken Bates
"In 1998, which director's Oscar acceptance speech included the line I'm king of the world?",James Cameron
What nationality was the painter Vincent Van Gogh?,Dutch
Which film features the characters Sally Albright and Harry Burns?,When Harry Met Sally
Which act won the Eurovision Song Contest for the United Kingdom singing Love Shine A Light?,Katrina And The Waves
Which English word comes from an old French word meaning sour wine?,Vinegar
"Which team beat American Samoa 31-0 in a qualifying match for the 2002 World Cup, but still failed to qualify?",Australia
What was the name of Roland Rat's gerbil friend?,Kevin
Which animal has the longest gestation period at around 22 months?,The elephant
What name is given to the home of a beaver?,Lodge
What name is given to a baby marsupial?,Joey
Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,Stephen Bing
What type of animal is the star of the 2005 film Racing Stripes?,Zebra
Author Dick Francis is famous for writing novels based around which sport?,Horseracing
Which Scottish newspaper features the Broons and Oor Wullie?,The Sunday Post
Which famous book features the character of Bob Cratchit?,A Christmas Carol
Which act has had more Christmas number one singles than any other?,The Beatles
Which Christmas song includes the line It seems so long since I could say 'sister Susie sitting on a thistle'?,All I Want for Christmas Is My Two Front Teeth
Which British footballer has the most number of International caps?,Peter Shilton
Who holds a trumpet on the album cover of Sgt. Pepper's Lonely Hearts Club Band by The Beatles?,Ringo Starr
Which song begins with the line The taxman's taken all my dough?,Sunny Afternoon
The Kray twins were convicted of the murder of George Cornell in the East End of London in 1966. What was the name of the pub in which he was shot?,The Blind Beggar
Who composed the musical theme for the Pink Panther?,Henry Mancini
"Who was the cartoon adversary of Pixie and Dixie, who would often say I hate those meeces to pieces?",Mr Jinx
Which actress married Dennis Quaid on Valentine's Day in 1991?,Meg Ryan
"During Margaret Thatcher's years as Prime Minister, there were three Chancellors of the Exchequer. Geoffrey Howe and Nigel Lawson were two, but who was the other one?",John Major
Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,Richie Valens
"Fruit, cricket and horseshoe are varieties of what type of animal?",Bat
"Apart from being warm blooded and giving birth to live young, what do mammals produce to differentiate them from other families of animals?",Milk
To which poet does Il Postino deliver mail?,Pablo Neruda
"Which scientist was Time magazine's ""Person of the 20th Century""?",Albert Einstein
What was the nickname given to premiership footballer Neil Ruddock?,Razor
The Ducati is manufactured in which city and what country?,"Bologna, Italy"
Wayne Rooney signed for Manchester United from which other Premiership Club?,Everton
The Yalu river forms a sort of natural border between China and which of its neighbours?,North Korea
Which stand-up comedian presents 8 Out Of 10 Cats and Distraction?,Jimmy Carr
"Name the game show, presented by Leslie Grantham and Melinda Messenger, where contestants were set physical and mental challenges?",Fort Boyard
Who presented Family Fortunes in the two years between Bob Monkhouse and Les Dennis?,Max Bygraves
For what did Einstien gat Nobel prize in Physics?,The photoelectric effect
Which planet has moons named after Shakespearean characters?,Uranus
"Who was part man, part machine, all cop and hailed from a futuristic Detroit?",Robocop
Who dubbed Miss Piggy's singing voice in The Muppet Movie?,Johnny Mathis
"Who wrote the Bourne trilogy of books, made into movies starring Matt Damon?",Robert Ludlum
"The Bible tells of 3 wise men visiting Jesus after his birth, but in which of the Gospels does this appear?",Matthew
"Athos and Porthos are two of the 3 musketeers, name the other one.",Aramis
What is the name of the small fifth claw called on the side of a dog's foot ?,The dewclaw
What is the name of the plastic bit on the end of shoelaces?,An aglet
The river Danube flows into which sea?,Black Sea
Anna Nicole Smith was controversially married to which oil billionaire?,J Howard Marshall
Wayne Rooney scored his first senior goal against which club?,Arsenal
How meny times have Liverpool won the Europion Cup?,5
The Sign Of Four was a detective story written by which author?,Sir Arthur Conan Doyle
Who was the author of 'The Old Curiosity Shop'?,Charles Dickens
In which sport or pastime can you see nose walking?,Surfing
What sport or pastime would you be playing if your balls were black and blue and your opponent's were red and yellow?,Croquet
The age of the railway began in which year with the introduction of the Liverpool-Manchester line?,1830
Who played Frankenstein in the 1994 film of the same name?,Kenneth Branagh
Who was the first person to sell one million records?,Enrico Caruso
"In Greek mythology, where do righteous souls go after death?",Elysian Fields
What is the scientific name given to tea?,Camellia Sinensis
"In the 1999 film Stuart Little, who plays the part of Mrs Eleanor Little?",Geena Davis
Suger Mice was a 1987 single for which British rock band?,Marillion
In which decade were ZIP codes introduced in the USA?,1960s
What are the shape-shifting foxes of the Japanese folklore?,Kitsune
In Greek mythology who was the twin of Polydeuces?,Castor
Which film features the Dawes Tomes Mousley Grubbs Fidelity Fiduciary Bank?,Mary Poppins
What is Robin Williams character called in Good Morning Vietnam?,Adrian
Who plays Cruella de Vil in the 1996 live action version of 101 Dalmations?,Glenn Close
Who stars in the 2008 movie Seven Pounds?,Will Smith
Marilyn Monroe starred in the Seven Year Itch. Who directed it?,Billy Wilder
On Red Nose Day 2001 who won Celebrity Big Brother?,Jack Dee
What is the name of the London Underground station in EastEnders?,Walford East
How many runs did Donald Bradman score in his last ever test match innings?,None
"Nicknamed the cannibal, who is the only rider to have won all three jerseys in the same year in the Tour de France?",Eddy Merckx
Whose arch nemisis is the Red Skull?,Captain America's
By what name is comic book villain Oswald Chesterfield Cobblepot better known?,The Penguin
"First appearing on TV in 1967, which detective solved all of his crimes sitting down?",Ironside
How many times was Wyatt Earp shot?,None
Which famous cowboy was created by George W. Trendle?,The Lone Ranger
"The pub with the longest name in the UK has how many letters in it? 55, 75 or 95?",55
Which movie starred Michael Caine as a murderous transvestite psychiatrist?,Dressed To Kill
"In 1961, who famously scored six goals in a match but still ended up on the losing team in a FA Cup tie?",Denis Law
Which economist wrote The Wealth Of Nations?,Adam Smith
Macbeth belonged to which royal house or dynasty?,House of Dunkeld
"Was James II known as: James The Bald, Fiery Face, or The Red King?",Fiery Face
"In Harry Potter And The Goblet Of Fire, which dragon did Harry have to defeat?",Hungarian Horntail
What is the full name of the train robber played by Phil Collins in a 1988 movie?,Buster Edwards
Tony Hadley was the lead singer with which 1980s new romantic band?,Spandau Ballet
What was the surname of the butler played by Gordon Jackson in Upstairs Downstairs?,Hudson
Which Jackson appeared in Celebrity Big Brother in January 2009?,La Toya Jackson
Who was the seventh president of the United States?,Andrew Jackson
