problem,answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
How was the European Recovery Program in the 1940s more commonly known?,Marshall Plan,Bretton Woods Agreement,Dawes Plan,Truman Doctrine
Brandon Lee died during the making of which movie?,The Crow,The Matrix,Dark City,The Exorcist
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers,The Jackson 5,"Earth, Wind & Fire",The Temptations
Who had a Too Legit To Quit Tour?,MC Hammer,Vanilla Ice,Will Smith,L.L. Cool J
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster,Victory and Defeat,Success and Failure,Joy and Sorrow
Who is the most successful UK solo artist in the USA?,Elton John,David Bowie,George Michael,Adele
Which country does the airline TAAG come from?,Angola,Mozambique,Namibia,Zambia
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down,I'm Coming Out,Ain't No Mountain High Enough,Love Hangover
River Phoenix died during the making of which movie?,Dark Blood,My Own Private Idaho,The Mosquito Coast,Stand by Me
Which artist David was born in Bradford UK?,Hockney,Bailey,Jones,Leigh
What is Mel Gibson's middle name?,Columcille,James,Patrick,Michael
Richard Daley was mayor of which city for 21 years?,Chicago,New York,Los Angeles,Philadelphia
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel,Ninotchka,Camille,Queen Christina
What is Osbert Lancaster best known for producing?,Cartoons,Novels,Plays,Documentaries
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade,Chris Evert,Billie Jean King,Margaret Court
Who was the first US-born winner of golf's British Open?,Walter Hagen,Bobby Jones,Gene Sarazen,Arnold Palmer
In which country is the Sky Train Rail bridge?,Canada,United States,Australia,Japan
What was the Paramount Film Company originally called?,Famous Players Film Company,Paramount Pictures Corporation,Famous Players-Lasky Corporation,Goldwyn Pictures Company
Who was the first person after Scott to reach the South Pole overland?,Edmond Hillary,Robert Falcon Scott,Roald Amundsen,Henry Shackleton
Which journalist first told the world about the My Lai massacre?,Seymour Hersh,Carl Bernstein,Walter Cronkite,Tom Brokaw
What is the name of Terence and Shirley Conran's dress designer son?,Jasper,Oliver,Finley,Sebastian
Which drink did The Spice Girls promote?,Pepsi,Coca-Cola,Dr. Pepper,Fanta
Who was the youngest brother in the Beach Boys?,Carl Wilson,Brian Wilson,Dennis Wilson,Mike Love
Who first hosted Family Feud?,Richard Dawson,Steve Harvey,Bob Eubanks,Gene Wood
What did the Lone Ranger's title Kemo Sabe mean in Apache?,White Shirt,Brave Warrior,Loyal Friend,Swift Rider
Who or what was Gentle Ben in the 60s TV series?,Bear cub,Dog,Mountain lion,Wolf
Which 70s show was based on the British show Till Death Us Do Part?,All In The Family,The Jeffersons,Maude,Good Times
On what date in 1969 did Neil Armstrong first set foot on the Moon?,July 20th,July 16th,July 19th,July 21st
Bandar Seri Begawan International airport is in which country?,Brunei,Malaysia,Indonesia,Thailand
What was the profession of Paul Strand (1890 - 1976)?,Photographer,Painter,Filmmaker,Sculptor
Who had a 60s No 1 with Downtown?,Petula Clark,Dusty Springfield,Cilla Black,Barbara Lewis
"Who was born first, Kiefer Sutherland or Christian Slater?",Kiefer Sutherland,Christian Slater,Brad Pitt,Johnny Depp
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",10,8,12,6
Who was the Georgia Peach?,Ty Cobb,Hank Aaron,Chipper Jones,Bobby Cox
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix,Eric Clapton,Pete Townshend,Janis Joplin
Della Street was whose secretary?,Perry Mason,Joe Friday,Sam Spade,Philip Marlowe
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond,David Cassidy,Bobby Sherman,Tony DeFranco
Who is featured on Puff Daddy's Can't Hold Me Down?,Mase,Lil' Kim,Notorious B.I.G.,Nas
What had Edmond Hillary worked at before taking up mountain climbing?,Bee Keeping,Sheep Farming,Carpentry,Teaching Mathematics
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts,New York,California,Illinois
Benina international airport is in which country?,Libya,Tunisia,Egypt,Algeria
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey,Whoopi Goldberg,Angela Bassett,Dianne Wiest
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy,William Shatner,John de Lancie,George Takei
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston,Courteney Cox,Lisa Kudrow,Megan Fox
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinkerbell,Wendy Darling,Peter Pan,Captain Hook
Which US president did Anthony Hopkins play in a film whose title was simply his name?,Nixon,Reagan,Clinton,Johnson
Which movie was a biopic about the life of David Helfgott?,Shine,A Beautiful Mind,The Pianist,Ray
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman,Francis Ford Coppola,Martin Scorsese,Tim Burton
In which sci fi classic did the space ship Nostromo first appear?,Alien,Blade Runner,The Matrix,Event Horizon
Nigel Hawthorne was Oscar nominated for The Madness of which King?,George,Henry,Richard,Charles
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman,Alicia Vikander,Greta Garbo,Noomi Rapace
Which Oscar-nominated film had You Sexy Thing as its theme song?,The Full Monty,Four Weddings and a Funeral,Billy Elliot,The Commitments
Which Joan's career revived in Whatever Happened to Baby Jane?,Crawford,Bennett,Fontaine,Davis
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,James Stewart,Cary Grant,Henry Fonda,Gary Cooper
Which legendary dancer was Oscar-nominated for The Towering Inferno?,Fred Astaire,Gene Kelly,Ginger Rogers,Mikhail Baryshnikov
What was the name of the brothel in The Best Little Whorehouse in Texas?,Chicken Ranch,The Blue Room,The Silver Saddle,The Red Rose Inn
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole,Richard Burton,Marlon Brando,Sean Connery
What relation is Joey Richardson to Vanessa Redgrave?,Daughter,Niece,Cousin,Sister
Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis,Steffi Graf,Lindsay Davenport,Ivan Lendl
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium,Netherlands,Germany,France
On which date in 1945 did Hitler take cyanide then shoot himself?,April 30th,April 28th,May 1st,May 15th
In which river is the Boulder Dam?,Colorado,Rio Grande,Columbia,Missouri
"Which sports event was first held at Worcester, Massachusetts in 1927?",Ryder Cup,World Series,NCAA Basketball Championship,Boston Marathon
In which European city is the Belvederen Gallery?,Vienna,Prague,Budapest,Brussels
How old was Woody Herman when he founded his own orchestra?,13,10,15,12
For which movie did Katharine Hepburn win her second Oscar?,Guess Who's Coming To Dinner,The Lion in Winter,On Golden Pond,Morning Glory
Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys,The Turtles,The Monkees,Paul Revere and the Raiders
The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,Sweden,Finland,Germany,Poland
In which country was the first permanent bungee jumping site situated?,New Zealand,Australia,South Africa,England
Who succeeded Brezhnev as Soviet premier?,Andropov,Gorbachev,Chernenko,Kosygin
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,Baby Buggy,Diaper Bag,Stroller Seat,Portable High Chair
In which city's shipyard was Solidarity set up?,"Gdansk, Poland","Krakow, Poland","Warsaw, Poland","Gdynia, Poland"
Which female singer was born on exactly the same day as impressionist Rich Little?,Tina Turner,Madonna,Aretha Franklin,Diana Ross
What is Harrison Ford's real name?,Harrison Ford,Henry Ford,Harry Ford,Harrison Forde
Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris,Babe Ruth,Hank Aaron,Sammy Sosa
Who won baseball's first World Series of the 80s?,Philadelphia Phillies,New York Yankees,Los Angeles Dodgers,Chicago Cubs
What was Pete Sampras seeded when he won his first US Open?,12,8,14,10
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocky Marciano,Joe Louis,Muhammad Ali,Sugar Ray Robinson
Where did Jonathan Edwards set his 1995 triple jump world record?,Sweden,Finland,Norway,Denmark
"In baseball, where do the Orioles come from?",Baltimore,Washington,Philadelphia,Boston
The Naismith Award is presented in which sport?,Basket ball,Soccer,Swimming,Tennis
Which cartoon and film character is the nickname of super athlete Michael Johnson?,Superman,Batman,Flash,Green Lantern
For which team did Babe Ruth blast his last Major League home run?,Boston Braves,New York Yankees,Chicago Cubs,Philadelphia Athletics
What was Warren Beatty's first movie?,Splendor in the Grass,Shampoo,Bonnie and Clyde,Reds
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Debra Winger,Lynda Carter,Linda Hamilton,Jennifer Garner
Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,Mickey Dolenz (The Monkees),Mickey Dorsey (The Beach Boys),Mickey Collins (The Four Seasons),Mickey Harmon (The Rascals)
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,Tom Selleck,Jack Webb,Don Johnson,David Hasselhoff
What US sitcom was the first exported to Britain?,Amos 'N' Andy,I Love Lucy,The Dick Van Dyke Show,Cheers
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,Cesar Romero,Adam West,Jim Piddock
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,Florence Henderson,Lucy Lawless,Betty White,Mary Tyler Moore
Which US president won the Nobel Peace Prize in 1920?,Woodrow Wilson,William Howard Taft,Franklin D. Roosevelt,Calvin Coolidge
Who beat Tim Henman in his first Wimbledon singles semifinal?,Pete Sampras,Andre Agassi,Roger Federer,Boris Becker
What relation was Flo Jo to Jackie Joyner Kersee?,Sister-in-law,Cousin,Friend,Teammate
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,4 years,2 years,6 years,8 years
Yuan Yuan was caught carrying drugs for which Chinese team?,Swimming,Basketball,Football,Tennis
Which grand slam did Pete Sampras not win in the 20th century?,French,Wimbledon,Australian Open,US Open
In which events did Gert Fredriksson win six Olympic gold medals?,Canoeing,Rowing,Sprinting,Swimming
"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",Three,Two,Four,Five
On the Internet what is Spam?,Junk mail,Unsolicited advertisements,Data bottleneck,Malicious software
In which country did the Internet start?,USA,United Kingdom,Germany,Canada
In which year was the Juilliard School founded in New York?,1905,1889,1920,1897
"Who wrote My Life and Loves in 1926, originally banned in the US?",Frank Harris,James Joyce,D.H. Lawrence,Virginia Woolf
What was Blondie's last UK No 1 of the 80s?,Rapture,Atomic,Heart of Glass,The Tide Is High
"In baseball, where do the Royals come from?",Kansas city,St. Louis,Chicago,Detroit
What is the largest city in Ohio?,Cleveland,Columbus,Cincinnati,Toledo
In which decade of the 20th century was Anne Bancroft born?,1930s,1920s,1940s,1950s
The Suez Canal connects the Mediterranean Sea to which other Sea?,Red sea,Caspian Sea,Black Sea,Adriatic Sea
Which rock star did Cindy Crawford name her first son after?,Presley,Hendrix,Jagger,Cobain
Sun Yat Sen overthrew the emperor in which country establishing a republic after 2000 years of imperial rule?,China,Japan,Korea,Vietnam
Who designed the dress which made the most at Diana's dress auction?,Victor Edelstein,Elie Saab,Giorgio Armani,Vivienne Westwood
Which Palestinian co-founded al Fatah in 1957?,Yasser Arafat,Mahmoud Abbas,George Habash,Salam Fayyad
In which country was Earl Spencer's acrimonious divorce settlement heard?,South Africa,Australia,Canada,New Zealand
"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, born?",Egypt,Tunisia,Morocco,Algeria
Aung San Suu Kyi is a controversial leader in which country?,Myanmar,Thailand,Vietnam,Bangladesh
Which of the founders of United Artists had the last name nearest the beginning of the alphabet?,Chaplin,Davis,Griffith,Cohan
"In La Cage Aux Folles, what was La Cage Aux Folles?",Nightclub,Restaurant,Theater,Bar
Where was the Fiddler in the musical's title?,On the Roof,In the Barn,On the Balcony,In the Attic
South Pacific was set during which war?,WWII,Korean War,Vietnam War,World War I
What percentage of the earth's surface is covered by Europe?,8%,12%,5%,15%
Which European town gave its name to a Treaty which symbolizes closer economic links between European countries?,Maastricht,Brussels,Amsterdam,Geneva
Which home of champagne in France was also where the German High Command surrendered in WWII?,Reims,Strasbourg,Dijon,Nantes
Which was the first European city this century to open an underground railway system?,Paris,London,Berlin,Madrid
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks,Walt Disney,Carl Barks,Bob Clampett
Which actress wrote the novel The Last of the Really Great Whangdoodles?,Julie Andrews,Meryl Streep,Whoopi Goldberg,Diane Keaton
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,Barbara Eden,Dolly Parton,Linda Ronstadt,Gloria Gaynor
What color golf balls are used on the golf course in Antarctica?,Orange,Yellow,White,Green
Throughout the 80s and 90s Phil Collins recorded on which record label?,Atlantic,Capitol,RCA,Warner Bros.
On which label did Chuck Berry record in the 1950s and 1960s?,Chess,Sun,RCA Victor,Capitol
What was the name of Michael Jackson's second wife?,Debbie Rowe,Lisa Marie Presley,Brooke Shields,Janet Jackson
Which US city was named after a British Prime Minister?,Pittsburgh,Liverpool,Washington,Montgomery
"""Who said, To err is human but it feels divine?""""""",Mae West,Dorothy Parker,Mark Twain,Oscar Wilde
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,Frankie Laine,Pat Boone,Dave Clark Five
What are the international registration letters of a vehicle from Iceland?,IS,IK,IC,IE
Where was the American venue of the Live Aid concert?,Philadelphia,New York City,Los Angeles,Chicago
Which was the longest moon landing?,Apollo 17,Apollo 15,Apollo 16,Apollo 14
Who had the most expensive presidential inauguration ceremony of the 20th century?,George W. Bush,Bill Clinton,Ronald Reagan,Jimmy Carter
Who became Israel's head of state in 1993?,Ezer Weizman,Shimon Peres,Yitzhak Rabin,Benjamin Netanyahu
"In WWII, who was the head of the Nazi party's security service?",Reinhard Heidrich,Heinrich Himmler,Joseph Goebbels,Hermann Göring
Which President of the Philippines was deposed in 1986?,Marcos,Aquino,Estrada,Cory
"What kind of disaster claimed some 100,000 lives in Armenia in 1988?",Earthquake,Flood,Tsunami,Volcanic eruption
Which state on the Gulf of Mexico is nearest the end of the alphabet?,Texas,Alabama,Louisiana,Florida
Truax Field international airport is in which US state?,Wisconsin,Minnesota,Illinois,Iowa
In what month was the attack on Pearl Harbor?,December,November,January,October
Who did Dr. Crippen murder?,His wife,His brother,His business partner,His neighbor
"In the 1904 Olympics, how many of the 23 track and field titles were won by Americans?",21,18,20,19
The Black Hills lie between which two rivers?,Belle Fourche and Cheyenne,Missouri and Platte,Niobrara and White,Little Missouri and Grand
In what year was the first in-flight movie shown on an internal flight in the USA.,1929,1931,1928,1930
In which city was John Lennon murdered?,New York,Los Angeles,Chicago,Miami
How was President Kennedy assassinated?,Shot,Poisoned,Stabbed,Electrocuted
Which caped crusader operated in Gotham City?,Batman,Superman,Green Arrow,The Flash
Who did Jack Ruby shoot in November 1963?,Lee Harvey Oswald,John F. Kennedy,Lyndon B. Johnson,Richard Nixon
Who was the first American to travel faster than the speed of sound?,Chuck Yeager,Neil Armstrong,Buzz Aldrin,Alan Shepard
Who was the first US president Barbara Walters interviewed?,Nixon,Lyndon B. Johnson,Ronald Reagan,Jimmy Carter
Which orchestral conductor was married to one of the subjects of the film Hillary and Jackie?,Daniel Barenboim,Simon Rattle,Gustavo Dudamel,Kurt Masur
Which writer and politician became Lord Tweedsmuir?,John Buchan,Arthur Conan Doyle,Rudyard Kipling,H.G. Wells
In what year was the first Tarzan novel published?,1914,1905,1920,1912
In which country were motorized ambulances first used?,France,Germany,United States,United Kingdom
What is the Pacific terminus of the Trans Siberian Railway?,Vladivostok,Khabarovsk,Nakhodka,Magadan
What is the name of the mountain pass which lies between Pakistan and Afghanistan?,Khyber pass,Hindu Kush Pass,Bolan Pass,Kala Khatis Pass
"What is the name of the group of 1,196 islands in the North Indian Ocean, none bigger than five square miles?",Maldives,Seychelles,Mauritius,Andaman Islands
Which Syrian city is said to be the oldest continually inhabited city in the world?,Damascus,Aleppo,Homs,Latakia
Who was king of France at the time of the French Revolution?,Louis XVI,Charles X,Louis XVII,Francis I
What is the principal language of Bulgaria?,Bulgarian,Romanian,Serbian,Macedonian
"What is the name of the cathedral in Red Square, Moscow?",St. Basil's,Christ the Savior Cathedral,Kazan Cathedral,St. John's Cathedral
Which country is known to its people as Suomen Tasavalta?,Finland,Sweden,Norway,Denmark
Which crusade was led by Philip II Augustus of France and Richard I of England?,Third crusade,Second Crusade,Fourth Crusade,Fifth Crusade
In which Netherlands city does the United Nations International Court of Justice sit?,The Hague,Amsterdam,Rotterdam,Utrecht
"In which battle did Harold II, the last Saxon king, lose his life?",Battle of Hastings,Battle of Agincourt,Battle of Stamford Bridge,Battle of Culloden
Who proclaimed the People's Republic of China in 1949?,Mao Zedong,Deng Xiaoping,Sun Yat-sen,Zhou Enlai
"Which wife of Henry VIII had already married twice before she became queen, and married for a fourth time after Henry's death?",Catherine Parr,Anne Boleyn,Jane Seymour,Catherine of Aragon
In which country is the castle that gives the Habsburg dynasty its name?,Switzerland,Austria,Germany,Liechtenstein
In which parliament has the UK 87 seats for members who are elected for a five0-year term?,European Parliament,Scottish Parliament,Welsh Parliament,London Assembly
What was the former name of the British Green Party?,Ecology Party,Environmental Party,Green Alliance,Eco-Action Party
"""What is the more common name of the """"simple plurality"""" system of voting?""",First past the post,Majority rule,Ranked choice,Block voting
What word for unthinking patriotism is derived from the name of one of Napoleon's admirers?,Chauvinism,Bonapartist,Napoleonism,Talleyrandism
Which builder of steam engines formed a successful partnership with Matthew Boulton?,James Watt,George Stephenson,Richard Trevithick,Isambard Kingdom Brunel
What was the nickname of the French singer Edith Piaf?,The Little Sparrow,The French Nightingale,The Singing Canary,The Parisian Dove
Whose birthday is celebrated by a public holiday on the third Monday in January in the USA?,Martin Luther King,Rosa Parks,Frederick Douglass,Harriet Tubman
What type of coal is brown and fibrous?,Lignite,Bituminous,Anthracite,Peat
What raw material is used for making glass?,Sand,Clay,Limestone,Soda Ash
What kind of an organism is a truffle?,Fungus,Root vegetable,Mushroom,Bacteria
What is the name of the strong material found in plant cell walls?,Cellulose,Chitin,Lignin,Pectin
What name is given to the change of state from liquid to gas?,Evaporation,Condensation,Sublimation,Freezing
"Which branch of science has four fundamental principles: addition, subtraction, multiplication, and division.",Arithmetic,Geometry,Trigonometry,Algebra
What is the force that opposes the relative motion of two bodies that are in contact?,Friction,Inertia,Gravity,Tension
What is the fastest animal on two legs?,An Ostrich,A Roadrunner,A Cassowary,A Emu
What is the green pigment used by plants to trap sunlight?,Chlorophyll,Carotene,Xanthophyll,Phycocyanin
What id the name given to the study of birds?,Ornithology,Entomology,Herpetology,Mammalogy
"Of which reptile are there only two species, one living in the Mississippi and the other in China?",Alligator,Caiman,Iguana,Chameleon
"What type of seaweed grows up to 100 meters in length, and is farmed for its alginates?",Kelp,Nori,Dulse,Wakame
Where in a vertebrate would you find the protein myoglobin?,Muscle tissue,Blood plasma,Nerve tissue,Bone marrow
"What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?",Cellulose,Starch,Chitin,Lignin
"Which family of insects has species named 'drivers', 'weavers', 'and even individuals called 'soldiers'?",Ant,Beetle,Termite,Wasp
What name is given to the study of animal behavior?,Ethology,Zoology,Ecology,Morphology
Mosses are classified as belonging to which part of the plant kingdom?,Bryophyta,Pteridophyta,Angiosperms,Gymnosperms
"Which rodent rears its young, called kittens, in a nest called a drey?",Squirrel,Mouse,Rat,Vole
What has a central vein called a midrib?,Leaf,Petal,Stem,Root
"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,Muskrat,Otter,Platypus
What is the generic word for plants that grow in water or water-logged conditions?,Hydrophytes,Xerophytes,Mesophytes,Halophytes
"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth,Canines,Premolars,Incisors
What is secreted by the pancreas to regulate blood sugar levels?,Insulin,Glucagon,Somatostatin,Amylin
How many chambers has the heart?,Four,Three,Five,Two
What is the name of the large buttock and thigh muscle?,Gluteus maximus,Quadriceps femoris,Hamstrings,Adductor magnus
"When the egg is released from the ovary, what is left behind?",Corpus luteum,Follicular cyst,Graafian follicle,Ovarian stroma
What is the scientific name for the heart's pacemaker?,Sinoatrial node,Atrioventricular node,Bundle of His,Purkinje fibers
Which hormone helps control ovulation?,Luteinizing hormone,Follicle-stimulating hormone,Progesterone,Estrogen
What is the second most common gas in the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
What is the term for nutrient enrichment of lakes?,Eutrophication,Oligotrophication,Desalinization,Acidification
Five-legged creatures have damaged which 1250 mile long wonder of the world?,Great Barrier Reef,Florida Everglades,Amazon Rainforest,Grand Canyon
Which radioactive substance sometimes occurs naturally in spring water?,Radon,Uranium,Radium,Thorium
What is the approximate circumference of the earth?,"24,900 miles","22,000 miles","25,500 miles","23,800 miles"
"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum,Limestone,Dolomite,Talc
What name was given to the invisible material once thought to occupy all space?,Ether,Aetherium,Void Matter,Dark Essence
From which areas of space can there be no escape?,Black holes,Neutron stars,Pulsars,Quasars
Who was the first man to walk on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins
Proteus and Nereid are moons of which planet?,Neptune,Uranus,Saturn,Mars
What is the Milky Way?,The local galaxy,A distant star cluster,A type of nebula,The largest asteroid belt
Which force is nothing more than the bending of space and time?,Gravitational force,Electromagnetic force,Nuclear force,Frictional force
"Which star is as bright as 23 Suns, and is orbited by the Pup?",Sirius,Betelgeuse,Rigel,Procyon
What are the three primary colours of light?,"Red, Blue and Green","Red, Yellow and Blue","Cyan, Magenta and Yellow","Orange, Green and Violet"
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,Beloved,A Wrinkle in Time,The Butler
What is the second lightest chemical element?,Helium,Hydrogen,Lithium,Beryllium
"Used in mathematics, what is the value of Pi to three decimal places?",3.142,3.141,3.145,3.139
"What colour is the number 10 on the door of 10 Downing Street? White, Yellow or Brown?",White,Red,Blue,Green
What was advertised with Eva Herzagovia using the slogan hello boys?,The Wonder-Bra,Calvin Klein Underwear,Victoria's Secret Bra,Freya Lingerie
What number in Bingo is sometimes referred to as Heinz varieties?,57,42,75,88
"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?",Ian Wright,Thierry Henry,Dennis Bergkamp,Robin van Persie
How many verses make up the national anthem God Save The Queen?,Three,Two,Four,Five
What colour is the cross on the national flag of Switzerland?,White,Red,Blue,Green
Who was the American President when the Berlin Wall was constructed?,John F Kennedy,Lyndon B. Johnson,Richard Nixon,Dwight D. Eisenhower
What is the minimum number of darts a person needs to throw to complete a leg from 501?,9,7,10,12
What was the first British football team to win the European Cup?,Celtic,Manchester United,Liverpool,Nottingham Forest
What is the most popular natural attraction in Alaska?,Mount McKinley,Denali State Park,Mount Katmai,Mendenhall Glacier
